Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
41,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-192,1989,17,1401,82,57.7,15.6,0.96,90,0.96,0.13,26,0.64,2.00,1.60,0.58,1.03,+1.03,+0.94,1.47,0.69,0.78,+0.78,+0.28,Matches
42,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26-330,1994,8,638,80,25.3,7.1,0.99,90,0.99,0.14,8,1.55,2.13,1.41,1.55,-0.14,-0.14,-1.29,1.48,1.46,0.01,+0.01,-0.49,Matches
43,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-197,1991,12,1080,90,46.2,12.0,1.00,90,1.00,0.00,,0.83,1.75,1.75,1.33,0.42,+0.42,+0.13,1.34,1.42,-0.07,-0.08,-0.58,Matches
44,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,27-364,1993,23,2023,88,80.3,22.5,1.02,88,0.98,0.00,,0.13,0.48,0.49,1.56,-1.07,-1.07,-0.16,0.88,1.59,-0.72,-0.72,-0.44,Matches
45,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-235,1989,11,500,45,20.6,5.6,0.89,68,0.00,1.07,27,1.43,1.45,1.79,1.25,0.54,+0.54,-0.16,1.52,0.77,0.75,+0.76,+0.70,Matches
46,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-184,1993,26,2234,86,95.5,24.8,1.05,86,0.81,0.00,,0.00,1.35,1.57,1.69,-0.12,-0.12,-1.82,1.54,1.61,-0.07,-0.07,+0.93,Matches
47,Jamal Baptiste\Jamal-Baptiste,eng ENG,DF,West Ham,17-117,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
48,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-253,1985,4,274,69,10.9,3.0,1.00,90,1.00,0.33,4,5.67,0.75,1.00,2.67,-1.67,-1.64,-1.20,1.00,1.37,-0.37,-0.36,+0.22,Matches
49,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-093,1993,16,1119,70,47.8,12.4,1.13,76,0.40,0.16,27,0.08,1.25,1.69,1.29,0.40,+0.40,-0.04,1.39,1.46,-0.07,-0.07,-0.54,Matches
50,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-093,1993,2,42,21,1.7,0.5,0.00,,0.00,4.00,21,2.00,1.50,2.00,0.00,2.00,+2.14,+1.54,0.60,1.80,-1.20,-1.25,-1.95,Matches
51,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-129,1989,18,1293,72,51.3,14.4,1.04,81,0.35,0.21,25,0.07,1.17,0.76,1.18,-0.42,-0.42,+0.32,1.01,1.28,-0.26,-0.27,+0.61,Matches
52,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,23-089,1997,25,1945,78,77.2,21.6,1.02,84,0.69,0.14,31,0.05,1.84,1.67,1.16,0.51,+0.51,-0.27,1.31,1.22,0.08,+0.08,-0.51,Matches
53,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-290,1991,20,1690,85,67.1,18.8,0.96,90,0.96,0.11,35,0.16,0.70,0.85,1.76,-0.90,-0.91,+1.15,0.82,1.75,-0.93,-0.93,+0.09,Matches
54,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32-231,1988,25,2036,81,80.8,22.6,1.11,81,0.66,0.00,,0.00,0.44,0.53,1.73,-1.19,-1.19,-0.82,0.84,1.46,-0.62,-0.62,+0.05,Matches
55,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-157,1993,16,702,44,27.9,7.8,0.90,79,0.26,1.15,16,1.41,1.00,1.15,1.79,-0.64,-0.64,-0.05,1.09,1.37,-0.28,-0.28,+0.60,Matches
56,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,24-330,1996,27,2335,86,96.1,25.9,1.04,86,0.93,0.00,,0.00,1.22,1.24,1.47,-0.23,-0.23,+4.51,1.00,1.24,-0.24,-0.24,+1.50,Matches
