Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
37,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-192,1989,17,15,1401,15.6,0.06,0.06,0.06,0.00,0.00,0.26,0.00,0.06,0.06,0.13,0.06,0.13,0.05,0.05,0.07,0.12,0.05,0.07,0.12,0.05,0.12,Matches
38,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26-330,1994,8,7,638,7.1,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
39,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-197,1991,12,12,1080,12.0,0.08,0.00,0.08,0.00,0.00,0.08,0.00,0.08,0.00,0.08,0.08,0.08,0.05,0.05,0.00,0.05,0.05,0.00,0.05,0.05,0.05,Matches
40,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,27-364,1993,23,23,2023,22.5,0.00,0.09,0.00,0.00,0.00,0.18,0.00,0.00,0.09,0.09,0.00,0.09,0.05,0.05,0.06,0.10,0.05,0.06,0.10,0.05,0.10,Matches
41,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-235,1989,11,5,500,5.6,0.89,0.36,0.89,0.00,0.00,0.18,0.00,0.90,0.36,1.26,0.90,1.26,0.54,0.54,0.16,0.70,0.54,0.16,0.70,0.54,0.70,Matches
42,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-184,1993,26,26,2234,24.8,0.52,0.20,0.48,0.04,0.04,0.04,0.00,0.52,0.20,0.73,0.48,0.68,0.51,0.48,0.11,0.59,0.51,0.11,0.62,0.48,0.59,Matches
43,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-253,1985,4,3,274,3.0,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,0.04,0.00,0.04,0.04,0.04,Matches
44,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-093,1993,16,14,1119,12.4,0.24,0.08,0.24,0.00,0.00,0.00,0.00,0.24,0.08,0.32,0.24,0.32,0.23,0.23,0.23,0.46,0.23,0.22,0.46,0.23,0.46,Matches
45,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-093,1993,2,0,42,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.06,0.16,0.22,0.06,0.22,Matches
46,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-129,1989,18,15,1293,14.4,0.21,0.00,0.14,0.07,0.07,0.28,0.00,0.21,0.00,0.21,0.14,0.14,0.34,0.28,0.05,0.33,0.34,0.05,0.39,0.29,0.33,Matches
47,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,23-089,1997,25,22,1945,21.6,0.42,0.19,0.42,0.00,0.00,0.00,0.00,0.42,0.19,0.60,0.42,0.60,0.29,0.29,0.07,0.36,0.29,0.07,0.36,0.29,0.36,Matches
48,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-290,1991,20,18,1690,18.8,0.16,0.05,0.16,0.00,0.00,0.16,0.00,0.16,0.05,0.21,0.16,0.21,0.10,0.10,0.02,0.12,0.10,0.02,0.12,0.10,0.12,Matches
49,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32-231,1988,25,25,2036,22.6,0.00,0.04,0.00,0.00,0.00,0.13,0.00,0.00,0.04,0.04,0.00,0.04,0.03,0.03,0.03,0.06,0.03,0.03,0.06,0.03,0.06,Matches
50,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-157,1993,16,7,702,7.8,0.13,0.13,0.13,0.00,0.00,0.00,0.00,0.13,0.13,0.26,0.13,0.26,0.14,0.14,0.18,0.32,0.14,0.18,0.33,0.14,0.33,Matches
51,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,24-330,1996,27,27,2335,25.9,0.04,0.04,0.04,0.00,0.00,0.12,0.04,0.04,0.04,0.08,0.04,0.08,0.03,0.03,0.01,0.05,0.04,0.01,0.05,0.04,0.05,Matches
52,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,23-324,1997,13,2,322,3.6,0.28,0.00,0.28,0.00,0.00,0.28,0.00,0.28,0.00,0.28,0.28,0.28,0.08,0.08,0.03,0.08,0.07,0.02,0.10,0.07,0.10,Matches
53,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,25-354,1995,22,22,1910,21.2,0.05,0.09,0.05,0.00,0.00,0.38,0.00,0.05,0.09,0.14,0.05,0.14,0.03,0.03,0.11,0.14,0.03,0.11,0.14,0.03,0.14,Matches
54,Saïd Benrahma\Said-Benrahma,dz ALG,MFFW,West Ham,25-210,1995,18,9,885,9.8,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.41,0.00,0.41,0.16,0.16,0.18,0.35,0.16,0.19,0.35,0.16,0.35,Matches
55,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,21-093,1999,6,2,264,2.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,0.06,0.00,0.06,0.06,0.06,Matches
56,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-095,1990,21,12,1069,11.9,0.42,0.08,0.42,0.00,0.00,0.17,0.08,0.42,0.08,0.51,0.42,0.51,0.37,0.37,0.08,0.44,0.37,0.07,0.44,0.37,0.44,Matches
57,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-132,1990,14,10,818,9.1,0.22,0.00,0.22,0.00,0.00,0.11,0.00,0.22,0.00,0.22,0.22,0.22,0.13,0.13,0.02,0.15,0.14,0.02,0.16,0.14,0.16,Matches
58,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,23-022,1998,13,12,1016,11.3,0.09,0.09,0.00,0.09,0.09,0.35,0.00,0.09,0.09,0.18,0.00,0.09,0.11,0.04,0.11,0.15,0.11,0.11,0.22,0.04,0.15,Matches
59,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,23-151,1997,16,11,1021,11.3,0.00,0.18,0.00,0.00,0.00,0.18,0.00,0.00,0.18,0.18,0.00,0.18,0.15,0.15,0.09,0.24,0.15,0.09,0.24,0.15,0.24,Matches
60,Bernard\Bernard,br BRA,FWMF,Everton,28-181,1992,8,3,380,4.2,0.24,0.00,0.24,0.00,0.00,0.48,0.00,0.24,0.00,0.24,0.24,0.24,0.05,0.05,0.14,0.19,0.04,0.14,0.18,0.04,0.18,Matches
61,Bernardo\Bernardo,br BRA,DFMF,Brighton,25-298,1995,3,2,206,2.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.09,0.22,0.13,0.09,0.22,0.13,0.22,Matches
62,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,31-215,1989,25,25,2238,24.9,0.00,0.04,0.00,0.00,0.00,0.20,0.00,0.00,0.04,0.04,0.00,0.04,0.02,0.02,0.03,0.05,0.02,0.03,0.05,0.02,0.05,Matches
63,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,24-190,1996,25,24,2122,23.6,0.04,0.00,0.04,0.00,0.00,0.25,0.04,0.04,0.00,0.04,0.04,0.04,0.03,0.03,0.02,0.05,0.03,0.02,0.04,0.03,0.04,Matches
64,Jayden Bogle\Jayden-Bogle,eng ENG,DF,Sheffield Utd,20-224,2000,11,8,806,9.0,0.22,0.00,0.22,0.00,0.00,0.22,0.00,0.22,0.00,0.22,0.22,0.22,0.16,0.16,0.02,0.17,0.15,0.02,0.17,0.15,0.17,Matches
65,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,30-033,1991,16,16,1440,16.0,0.06,0.06,0.06,0.00,0.00,0.06,0.00,0.06,0.06,0.12,0.06,0.12,0.06,0.06,0.03,0.09,0.06,0.02,0.09,0.06,0.09,Matches
66,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,24-078,1996,26,23,1837,20.4,0.25,0.15,0.25,0.00,0.00,0.00,0.00,0.24,0.15,0.39,0.24,0.39,0.22,0.22,0.11,0.33,0.22,0.11,0.33,0.22,0.33,Matches
67,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,29-053,1992,18,12,1027,11.4,0.09,0.09,0.09,0.00,0.00,0.26,0.00,0.09,0.09,0.18,0.09,0.18,0.07,0.07,0.08,0.15,0.07,0.08,0.15,0.07,0.15,Matches
68,Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,20-341,2000,20,9,864,9.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.14,0.28,0.15,0.14,0.28,0.15,0.28,Matches
69,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,25-079,1995,23,22,1961,21.8,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.03,0.07,0.04,0.03,0.07,0.04,0.07,Matches
70,Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,27-172,1993,12,5,468,5.2,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.06,0.03,0.03,0.06,0.03,0.06,Matches
71,Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,24-127,1996,9,8,655,7.3,0.14,0.00,0.14,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,0.05,0.05,0.05,0.11,0.06,0.05,0.11,0.06,0.11,Matches
72,Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,23-335,1997,18,11,967,10.7,0.09,0.09,0.09,0.00,0.00,0.19,0.00,0.09,0.09,0.19,0.09,0.19,0.21,0.21,0.16,0.36,0.20,0.16,0.36,0.20,0.36,Matches
73,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,28-303,1992,19,16,1472,16.4,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.02,0.09,0.06,0.03,0.08,0.06,0.08,Matches
74,David Button\David-Button,eng ENG,GK,West Brom,32-009,1989,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
75,Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,22-342,1998,1,0,22,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
76,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,39-161,1981,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
77,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,35-079,1985,13,13,1170,13.0,0.08,0.00,0.08,0.00,0.00,0.15,0.00,0.08,0.00,0.08,0.08,0.08,0.02,0.02,0.03,0.05,0.02,0.03,0.05,0.02,0.05,Matches
