Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
36,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-195,1991,25.8,60.2,75.6,79.6,1233.5,487.0,21.3,24.1,88.3,29.1,33.4,87.1,9.42,16.0,58.7,0.00,0.09,-0.09,0.85,5.31,1.05,0.39,6.16,Matches
37,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-192,1989,15.6,74.3,85.6,86.8,1341.0,472.9,28.8,31.2,92.6,39.0,42.7,91.3,5.64,9.55,59.1,0.06,0.07,-0.01,0.96,5.83,0.90,0.19,4.94,Matches
38,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26-330,1994,7.1,48.3,53.8,89.8,1007.5,320.4,13.7,14.8,92.4,27.6,29.7,92.9,6.90,9.01,76.6,0.00,0.00,0.00,0.00,3.38,0.00,0.00,3.10,Matches
39,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-197,1991,12.0,26.6,35.0,76.0,651.6,253.3,5.17,5.92,87.3,14.4,16.5,87.4,6.67,11.8,56.3,0.00,0.00,0.00,0.00,2.42,0.00,0.00,2.25,Matches
40,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,27-364,1993,22.5,28.4,36.9,76.8,433.6,146.7,16.7,18.3,91.2,9.60,12.4,77.1,1.47,3.91,37.5,0.09,0.06,0.03,0.53,1.33,1.02,0.27,2.00,Matches
41,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-235,1989,5.6,27.5,40.5,67.8,578.9,173.4,12.3,15.0,82.1,8.21,11.3,73.0,5.89,11.4,51.6,0.36,0.16,0.20,1.79,2.86,0.71,0.18,3.39,Matches
42,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-184,1993,24.8,11.3,14.8,76.3,152.1,22.5,6.45,8.35,77.3,3.19,3.87,82.3,0.65,0.73,88.9,0.20,0.11,0.09,0.69,0.56,0.32,0.08,0.73,Matches
43,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-253,1985,3.0,38.7,55.0,70.3,752.0,316.3,15.7,16.3,95.9,17.0,22.3,76.1,5.33,13.3,40.0,0.00,0.00,0.00,0.00,3.00,2.00,0.33,3.67,Matches
44,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-093,1993,12.4,34.0,41.8,81.5,633.2,151.4,16.4,18.9,86.8,11.9,13.5,87.5,5.32,7.58,70.2,0.08,0.23,-0.15,2.34,2.74,1.37,0.00,4.11,Matches
45,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-093,1993,0.5,44.0,52.0,84.6,882.0,144.0,20.0,26.0,76.9,16.0,18.0,88.9,8.00,8.00,100.0,0.00,0.20,-0.20,2.00,4.00,2.00,0.00,4.00,Matches
46,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-129,1989,14.4,12.9,20.1,64.1,168.9,37.6,8.54,11.3,75.9,2.99,4.86,61.4,0.49,1.94,25.0,0.00,0.05,-0.05,0.90,0.90,0.49,0.07,1.32,Matches
47,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,23-089,1997,21.6,21.7,29.1,74.5,335.0,86.8,12.3,15.4,79.9,7.27,9.21,78.9,1.53,2.36,64.7,0.19,0.07,0.12,1.16,1.71,0.88,0.09,2.87,Matches
48,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-290,1991,18.8,23.7,30.4,78.1,493.1,157.3,7.50,8.62,87.0,12.1,14.3,84.4,3.94,6.97,56.5,0.05,0.02,0.03,0.16,1.81,0.11,0.05,1.12,Matches
49,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32-231,1988,22.6,31.5,39.2,80.2,555.0,161.5,14.4,16.2,88.8,13.3,15.9,83.6,3.27,5.58,58.7,0.04,0.03,0.01,0.35,1.90,0.53,0.22,2.35,Matches
50,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-157,1993,7.8,14.2,19.9,71.6,200.8,40.9,7.82,9.87,79.2,4.74,6.54,72.5,0.77,1.03,75.0,0.13,0.18,-0.05,0.90,0.77,0.38,0.13,1.15,Matches
51,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,24-330,1996,25.9,51.5,61.2,84.2,993.0,340.2,19.0,20.5,92.6,26.6,29.4,90.4,5.52,10.3,53.6,0.04,0.01,0.03,0.15,2.63,0.15,0.00,2.66,Matches
52,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,23-324,1997,3.6,40.0,47.5,84.2,576.1,109.2,23.6,26.9,87.6,14.7,15.8,93.0,0.83,1.39,60.0,0.00,0.03,-0.03,0.56,1.94,0.28,0.28,1.39,Matches
53,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,25-354,1995,21.2,45.8,55.4,82.7,765.6,222.5,21.5,24.7,87.0,20.8,24.3,85.7,2.64,4.15,63.6,0.09,0.11,-0.01,0.99,2.41,1.32,0.42,3.63,Matches
54,Saïd Benrahma\Said-Benrahma,dz ALG,MFFW,West Ham,25-210,1995,9.8,25.9,32.9,78.9,408.7,109.9,14.6,16.0,91.1,8.37,10.3,81.2,1.94,4.39,44.2,0.41,0.18,0.22,1.53,2.65,1.12,0.31,3.16,Matches
55,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,21-093,1999,2.9,21.4,29.3,72.9,298.3,111.0,13.1,14.5,90.5,5.86,8.28,70.8,1.38,4.14,33.3,0.00,0.00,0.00,0.00,1.38,0.00,0.00,2.41,Matches
56,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-095,1990,11.9,17.7,27.6,64.3,243.4,53.0,10.7,16.3,65.5,4.87,7.82,62.4,1.01,1.51,66.7,0.08,0.08,0.01,0.92,1.26,0.92,0.08,1.93,Matches
57,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-132,1990,9.1,22.9,30.2,75.6,367.1,91.8,13.0,14.9,86.8,6.81,9.01,75.6,2.31,4.95,46.7,0.00,0.02,-0.02,0.44,1.32,0.44,0.22,2.42,Matches
58,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,23-022,1998,11.3,30.9,37.7,81.9,566.2,118.2,13.2,15.8,83.2,13.4,15.1,88.3,3.81,5.31,71.7,0.09,0.11,-0.02,1.06,2.83,0.35,0.18,2.57,Matches
59,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,23-151,1997,11.3,24.7,30.5,80.9,340.3,63.6,15.1,16.9,89.5,7.43,9.20,80.8,0.62,2.21,28.0,0.18,0.09,0.09,0.88,1.50,0.53,0.00,1.24,Matches
60,Bernard\Bernard,br BRA,FWMF,Everton,28-181,1992,4.2,43.3,55.0,78.8,713.8,185.5,21.0,24.0,87.1,17.6,21.9,80.4,3.57,5.24,68.2,0.00,0.14,-0.14,1.90,3.81,2.14,0.48,4.52,Matches
61,Bernardo\Bernardo,br BRA,DFMF,Brighton,25-298,1995,2.3,27.0,37.8,71.3,453.0,125.2,13.9,16.5,84.2,10.4,14.8,70.6,2.17,2.61,83.3,0.00,0.09,-0.09,0.87,1.30,0.87,0.43,2.61,Matches
62,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,31-215,1989,24.9,41.2,53.6,76.9,685.7,270.7,20.8,23.6,88.2,16.5,20.5,80.4,2.97,6.79,43.8,0.04,0.03,0.01,0.36,2.29,0.88,0.16,3.49,Matches
63,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,24-190,1996,23.6,42.5,49.2,86.4,872.9,158.9,14.2,16.5,86.4,20.0,22.0,91.1,7.50,9.49,79.0,0.00,0.02,-0.02,0.34,3.81,0.64,0.08,3.56,Matches
64,Jayden Bogle\Jayden-Bogle,eng ENG,DF,Sheffield Utd,20-224,2000,9.0,26.1,33.3,78.3,428.1,173.8,14.6,16.8,86.8,8.11,10.1,80.2,2.56,4.33,59.0,0.00,0.02,-0.02,0.44,1.56,0.78,0.11,2.44,Matches
65,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,30-033,1991,16.0,38.8,46.8,82.9,776.1,263.2,12.3,13.9,88.3,20.2,22.4,90.2,5.88,9.50,61.8,0.06,0.03,0.04,0.13,2.50,0.06,0.00,2.06,Matches
66,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,24-078,1996,20.4,17.9,26.8,67.0,366.1,80.9,7.40,9.90,74.8,6.91,8.87,77.9,3.38,6.67,50.7,0.15,0.11,0.03,0.98,0.83,0.83,0.29,1.47,Matches
67,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,29-053,1992,11.4,23.1,33.9,68.1,408.9,141.8,11.5,13.9,82.4,7.63,11.0,69.6,2.98,6.75,44.2,0.09,0.08,0.01,0.61,2.02,0.53,0.35,2.81,Matches
68,Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,20-341,2000,9.6,12.6,17.3,72.9,206.9,51.7,7.19,8.85,81.2,3.65,4.69,77.8,1.46,2.60,56.0,0.00,0.14,-0.14,0.52,1.15,0.21,0.00,1.35,Matches
