Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
36,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-195,1991,25.8,87.2,7.52,39.7,40.2,15.4,1.94,78.3,1.16,1.63,71.4,1.20,0.19,54.2,378.3,239.4,6.47,1.82,0.19,0.93,0.78,59.7,56.5,94.6,1.82,Matches
37,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-192,1989,15.6,96.0,5.83,35.1,46.5,17.9,1.47,88.3,0.32,0.51,62.5,0.32,0.00,55.3,212.4,130.0,4.29,1.47,0.00,0.32,0.38,69.4,67.0,96.6,1.22,Matches
38,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26-330,1994,7.1,65.4,9.01,36.8,31.8,1.41,0.42,64.6,0.56,0.56,100.0,0.56,0.00,41.7,272.4,143.2,3.80,0.14,0.00,0.28,0.14,42.0,41.4,98.7,0.00,Matches
39,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-197,1991,12.0,46.0,7.08,24.2,22.7,1.75,0.75,44.3,0.08,0.17,50.0,0.08,0.00,23.9,116.0,53.6,1.00,0.25,0.00,0.08,0.00,25.3,24.2,95.4,0.42,Matches
40,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,27-364,1993,22.5,47.0,3.07,12.8,15.7,21.0,1.56,40.0,0.71,1.51,47.1,0.80,0.00,26.5,158.0,87.2,4.04,1.29,0.31,0.76,0.67,28.9,25.1,86.6,2.04,Matches
41,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-235,1989,5.6,55.7,2.32,8.21,25.5,25.2,3.93,52.0,3.21,5.18,62.1,3.39,0.18,35.9,217.5,98.9,5.89,1.07,0.54,1.96,1.25,53.2,38.6,72.5,7.68,Matches
42,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-184,1993,24.8,25.3,1.17,2.18,11.5,12.5,5.60,22.5,0.52,1.17,44.8,0.65,0.20,12.5,53.3,24.6,1.49,0.44,0.60,2.30,1.05,41.2,16.7,40.6,6.37,Matches
43,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-253,1985,3.0,65.3,5.00,21.3,33.3,14.3,0.67,53.3,0.67,0.67,100.0,0.67,0.33,29.3,140.3,63.3,3.67,1.00,0.00,0.33,0.67,33.0,31.3,94.9,0.33,Matches
44,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-093,1993,12.4,52.2,0.97,6.94,23.3,24.9,4.27,47.2,2.10,2.74,76.5,2.10,0.00,34.1,190.6,104.8,4.84,1.45,0.73,1.69,2.50,45.7,36.0,78.7,5.00,Matches
45,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-093,1993,0.5,66.0,0.00,16.0,38.0,16.0,2.00,66.0,8.00,10.0,80.0,8.00,0.00,50.0,254.0,168.0,6.00,2.00,0.00,2.00,0.00,64.0,48.0,75.0,10.0,Matches
46,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-129,1989,14.4,33.3,0.69,3.33,15.1,16.4,4.44,33.1,0.14,0.42,33.3,0.21,0.00,19.7,62.5,28.5,1.81,0.63,0.28,3.19,1.74,49.0,24.6,50.1,6.60,Matches
47,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,23-089,1997,21.6,43.2,0.83,5.65,19.5,23.8,5.00,43.1,1.25,3.15,39.7,1.25,0.05,32.3,234.3,165.7,8.24,3.84,1.71,2.45,2.41,46.2,32.7,70.9,6.25,Matches
48,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-290,1991,18.8,42.9,10.2,26.1,16.2,2.13,1.33,41.6,0.00,0.00,,0.00,0.00,17.9,95.6,40.9,0.80,0.11,0.00,0.27,0.21,21.6,19.3,89.2,0.16,Matches
