Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,31-110,1989,13.4,2.31,1.72,0.82,0.90,0.60,1.12,2.61,42.9,1.49,17.0,6.87,40.4,5.45,6.79,4.78,1.87,0.15,0.07,1.72,1.42,3.73,1.42,0.00,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-331,1991,11.8,2.80,1.86,1.02,1.27,0.51,0.93,2.29,40.7,1.36,16.8,5.68,33.8,3.98,9.58,3.22,1.02,0.00,0.00,1.02,1.27,4.07,0.93,0.00,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,32-006,1989,16.9,1.83,0.77,1.07,0.77,0.00,0.71,1.36,52.2,0.65,8.82,2.90,32.9,5.33,3.37,0.12,2.01,1.18,0.06,0.83,0.18,2.01,7.10,0.00,Matches
14,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,26-018,1995,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-152,1998,23.7,1.86,1.18,0.93,0.68,0.25,1.18,1.98,59.6,0.80,9.20,3.33,36.2,3.00,3.59,2.62,1.31,0.08,0.00,1.22,0.76,2.62,1.81,0.04,Matches
16,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,29-024,1992,16.5,2.97,1.39,1.03,1.58,0.36,0.79,2.48,31.7,1.70,19.2,5.70,29.7,8.06,8.24,2.85,1.58,0.30,0.00,1.27,0.91,3.88,2.18,0.00,Matches
17,Alisson\Alisson,br BRA,GK,Liverpool,28-157,1992,23.0,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.0,0.04,0.13,0.00,0.0,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.17,Matches
18,Allan\Allan,br BRA,MF,Everton,30-059,1991,12.8,2.97,1.95,1.25,1.56,0.16,0.94,3.67,25.5,2.73,25.9,7.50,29.0,11.3,13.0,1.48,2.03,0.63,0.00,1.41,0.78,3.75,1.17,0.00,Matches
19,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,24-331,1996,2.3,2.17,1.30,1.74,0.00,0.43,0.87,2.17,40.0,1.30,32.6,6.96,21.3,5.22,15.7,11.7,0.87,0.00,0.00,0.87,1.30,3.48,0.43,0.00,Matches
20,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,27-026,1994,17.6,2.22,1.31,1.02,1.02,0.17,0.68,2.16,31.6,1.48,18.4,4.55,24.7,6.08,7.39,4.94,1.31,0.06,0.00,1.25,1.02,3.24,0.97,0.06,Matches
21,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-070,1990,6.8,1.32,0.74,0.59,0.59,0.15,0.15,1.47,10.0,1.32,14.1,4.26,30.2,6.91,4.71,2.50,2.35,0.15,0.00,2.21,0.59,1.91,3.97,0.00,Matches
22,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,22-181,1998,8.2,2.07,1.59,1.34,0.37,0.37,0.24,0.73,33.3,0.49,15.2,5.85,38.4,4.39,6.95,3.90,1.83,0.12,0.00,1.71,0.61,2.68,1.10,0.12,Matches
23,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-077,1994,6.5,1.08,0.77,0.46,0.46,0.15,0.77,1.54,50.0,0.77,7.69,2.92,38.0,4.62,2.62,0.46,2.15,0.77,0.15,1.38,0.92,2.00,5.38,0.00,Matches
24,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-175,2000,19.8,2.83,1.62,1.41,1.16,0.25,0.91,2.32,39.1,1.41,15.4,4.49,29.2,7.47,5.96,1.97,2.02,0.91,0.00,1.11,1.57,4.39,5.00,0.10,Matches
25,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-281,1996,21.7,1.20,0.69,0.78,0.32,0.09,0.55,1.01,54.5,0.46,5.44,2.12,39.0,3.87,1.34,0.23,1.15,0.60,0.00,0.55,1.52,2.72,7.79,0.00,Matches
26,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-122,2002,0.0,0,0,0,0,0,0,0,,0,3,1,33.3,0,3,0,0,0,0,0,0,0,0,0,Matches
27,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27-327,1993,0.0,1,1,0,1,0,0,2,0.0,2,3,1,33.3,1,2,0,0,0,0,0,0,1,0,0,Matches
28,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,30-345,1990,13.8,0.51,0.29,0.07,0.29,0.14,0.07,0.36,20.0,0.29,11.4,3.26,28.7,0.51,4.42,6.45,1.23,0.58,0.00,0.65,0.51,1.01,0.43,0.00,Matches
29,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,28-009,1993,27.0,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.0,0.04,0.11,0.00,0.0,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,Matches
30,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,28-343,1992,20.2,2.57,1.63,0.94,1.19,0.45,1.14,3.02,37.7,1.88,16.3,4.90,30.0,5.20,7.28,3.86,1.14,0.05,0.00,1.09,1.09,3.66,0.59,0.05,Matches
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-156,1994,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.0,0.25,0.25,0.00,0.0,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,Matches
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-263,1989,20.6,0.53,0.15,0.15,0.34,0.05,0.15,0.83,17.6,0.68,12.0,3.11,25.9,1.89,5.05,5.05,1.02,0.10,0.00,0.92,0.19,0.73,0.58,0.00,Matches
33,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-074,1992,12.8,4.14,2.03,2.81,1.17,0.16,1.25,2.89,43.2,1.64,21.1,5.86,27.8,11.8,7.03,2.27,2.03,0.39,0.00,1.64,1.41,5.55,3.05,0.16,Matches
34,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-246,1989,1.5,2.67,2.00,1.33,0.67,0.67,0.67,1.33,50.0,0.67,15.3,4.67,30.4,3.33,5.33,6.67,0.00,0.00,0.00,0.00,1.33,4.00,2.00,0.00,Matches
35,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,29-178,1991,17.6,1.87,1.42,0.40,1.08,0.40,0.40,1.70,23.3,1.31,27.9,6.93,24.8,5.00,14.5,8.35,1.19,0.06,0.00,1.14,1.02,2.90,0.45,0.00,Matches
36,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-195,1991,25.8,2.75,1.59,1.43,1.01,0.31,0.70,2.05,34.0,1.36,13.8,5.16,37.5,6.94,5.31,1.51,2.29,0.93,0.04,1.36,1.09,3.84,2.56,0.08,Matches
37,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-192,1989,15.6,1.99,1.03,0.96,0.64,0.38,0.71,1.22,57.9,0.51,14.0,4.23,30.1,6.15,5.45,2.44,1.67,0.26,0.00,1.41,1.15,3.14,3.97,0.06,Matches
38,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26-330,1994,7.1,1.13,0.70,0.56,0.42,0.14,0.00,0.00,,0.00,6.06,2.25,37.2,2.82,3.10,0.14,1.83,1.69,0.00,0.14,2.25,3.38,5.35,0.00,Matches
39,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-197,1991,12.0,1.83,1.08,1.50,0.33,0.00,0.83,1.58,52.6,0.75,9.83,3.42,34.7,6.33,3.42,0.08,1.92,0.33,0.00,1.58,1.00,2.83,6.75,0.08,Matches
40,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,27-364,1993,22.5,1.73,0.80,1.07,0.53,0.13,0.67,1.56,42.9,0.89,14.3,3.51,24.5,6.27,5.33,2.71,1.60,0.27,0.04,1.33,0.98,2.71,2.62,0.00,Matches
41,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-235,1989,5.6,1.43,0.89,0.71,0.18,0.54,0.36,1.25,28.6,0.89,12.1,2.86,23.5,2.50,5.89,3.75,1.61,0.18,0.00,1.43,0.71,2.14,2.14,0.00,Matches
42,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-184,1993,24.8,0.77,0.52,0.16,0.32,0.28,0.20,0.85,23.8,0.65,16.2,4.64,28.7,0.85,7.06,8.27,0.52,0.24,0.04,0.28,0.36,1.13,0.93,0.00,Matches
43,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-253,1985,3.0,2.00,1.33,1.67,0.33,0.00,0.67,1.33,50.0,0.67,13.0,3.00,23.1,5.67,6.33,1.00,1.33,0.33,0.00,1.00,1.00,3.00,4.67,0.00,Matches
44,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-093,1993,12.4,0.24,0.00,0.16,0.08,0.00,0.16,0.56,28.6,0.40,12.7,3.15,24.8,1.69,7.26,3.71,1.05,0.16,0.00,0.89,0.32,0.56,0.32,0.00,Matches
45,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-093,1993,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,10.0,2.00,20.0,4.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
46,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-129,1989,14.4,0.97,0.42,0.14,0.42,0.42,0.28,0.83,33.3,0.56,12.7,3.19,25.1,1.53,4.86,6.32,1.04,0.21,0.00,0.83,0.28,1.25,0.63,0.00,Matches
47,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,23-089,1997,21.6,1.02,0.65,0.42,0.28,0.32,0.19,0.88,21.1,0.69,10.5,3.24,31.0,2.82,4.17,3.47,1.11,0.19,0.00,0.93,0.74,1.76,0.56,0.00,Matches
48,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-290,1991,18.8,0.90,0.64,0.59,0.32,0.00,0.37,1.01,36.8,0.64,7.77,2.39,30.8,4.36,2.98,0.43,2.55,1.28,0.05,1.28,0.96,1.86,7.23,0.00,Matches
49,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32-231,1988,22.6,2.79,1.86,1.68,0.88,0.22,1.28,2.26,56.9,0.97,12.9,3.85,29.9,6.64,4.51,1.73,1.81,0.44,0.13,1.37,1.42,4.20,4.12,0.04,Matches
50,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-157,1993,7.8,0.38,0.38,0.13,0.26,0.00,0.26,1.15,22.2,0.90,12.8,2.44,19.0,1.03,6.15,5.64,1.28,0.13,0.00,1.15,0.26,0.64,0.64,0.13,Matches
51,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,24-330,1996,25.9,1.20,0.69,0.77,0.39,0.04,0.54,1.39,38.9,0.85,7.49,2.55,34.0,4.63,2.63,0.23,1.81,0.73,0.04,1.08,1.97,3.17,5.44,0.04,Matches
52,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,23-324,1997,3.6,2.50,2.22,0.83,1.39,0.28,0.56,1.94,28.6,1.39,15.8,4.72,29.8,1.94,8.89,5.00,2.50,0.28,0.00,2.22,0.83,3.33,0.83,0.00,Matches
53,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,25-354,1995,21.2,1.51,0.75,0.80,0.61,0.09,0.57,1.84,30.8,1.27,9.72,2.55,26.2,3.73,4.53,1.46,2.22,0.42,0.00,1.79,0.52,2.03,1.89,0.00,Matches
54,Saïd Benrahma\Said-Benrahma,dz ALG,MFFW,West Ham,25-210,1995,9.8,1.94,1.43,0.71,1.02,0.20,0.31,1.53,20.0,1.22,19.4,4.90,25.3,5.51,10.1,3.78,1.02,0.00,0.00,1.02,0.92,2.86,0.31,0.00,Matches
55,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,21-093,1999,2.9,2.76,1.72,1.72,0.34,0.69,1.38,2.76,50.0,1.38,12.4,4.14,33.3,5.17,5.86,1.38,1.03,0.34,0.00,0.69,0.34,3.10,0.69,0.00,Matches
56,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-095,1990,11.9,0.67,0.42,0.00,0.25,0.42,0.00,0.59,0.0,0.59,11.5,3.11,27.0,1.01,6.13,4.37,1.01,0.42,0.08,0.59,0.34,1.01,1.76,0.00,Matches
57,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-132,1990,9.1,1.21,0.88,0.22,0.77,0.22,0.77,1.65,46.7,0.88,10.4,2.75,26.3,2.97,4.73,2.75,1.54,0.00,0.00,1.54,0.88,2.09,0.77,0.00,Matches
