Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
50,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-157,1993,7.8,2.56,2.56,1.67,0.13,0.51,0.00,0.26,0.00,0.26,0.26,0.13,0.00,0.00,0.00,0.13,0.00,0.00,Matches
51,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,24-330,1996,25.9,0.39,0.39,0.31,0.04,0.00,0.04,0.00,0.00,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,Matches
52,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,23-324,1997,3.6,2.78,2.80,2.50,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
53,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,25-354,1995,21.2,1.79,1.79,1.60,0.05,0.00,0.09,0.05,0.00,0.28,0.28,0.24,0.00,0.00,0.00,0.05,0.00,0.00,Matches
54,Saïd Benrahma\Said-Benrahma,dz ALG,MFFW,West Ham,25-210,1995,9.8,3.37,3.36,2.96,0.00,0.20,0.10,0.10,0.00,0.61,0.61,0.61,0.00,0.00,0.00,0.00,0.00,0.00,Matches
55,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,21-093,1999,2.9,0.34,0.34,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
56,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-095,1990,11.9,1.76,1.77,1.60,0.00,0.00,0.08,0.08,0.00,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,Matches
57,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-132,1990,9.1,1.32,1.32,0.99,0.00,0.00,0.11,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
58,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,23-022,1998,11.3,1.95,1.95,1.59,0.00,0.18,0.09,0.00,0.09,0.09,0.09,0.00,0.00,0.00,0.09,0.00,0.00,0.00,Matches
59,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,23-151,1997,11.3,2.39,2.38,1.77,0.09,0.00,0.09,0.44,0.00,0.35,0.35,0.18,0.00,0.00,0.09,0.09,0.00,0.00,Matches
60,Bernard\Bernard,br BRA,FWMF,Everton,28-181,1992,4.2,3.33,3.32,2.86,0.00,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,Matches
61,Bernardo\Bernardo,br BRA,DFMF,Brighton,25-298,1995,2.3,1.74,1.75,0.87,0.00,0.00,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
62,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,31-215,1989,24.9,1.12,1.13,0.76,0.28,0.00,0.00,0.04,0.04,0.12,0.12,0.08,0.00,0.00,0.00,0.00,0.04,0.00,Matches
63,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,24-190,1996,23.6,1.48,1.48,1.31,0.00,0.00,0.08,0.00,0.08,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,Matches
64,Jayden Bogle\Jayden-Bogle,eng ENG,DF,Sheffield Utd,20-224,2000,9.0,1.11,1.12,0.67,0.11,0.22,0.00,0.11,0.00,0.11,0.11,0.00,0.00,0.11,0.00,0.00,0.00,0.00,Matches
65,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,30-033,1991,16.0,0.63,0.62,0.50,0.00,0.00,0.13,0.00,0.00,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.00,Matches
66,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,24-078,1996,20.4,2.94,2.94,1.67,0.49,0.15,0.34,0.25,0.05,0.39,0.39,0.20,0.15,0.00,0.05,0.00,0.00,0.00,Matches
67,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,29-053,1992,11.4,1.40,1.40,0.96,0.18,0.00,0.18,0.00,0.09,0.09,0.09,0.00,0.09,0.00,0.00,0.00,0.00,0.00,Matches
68,Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,20-341,2000,9.6,1.67,1.67,1.15,0.00,0.00,0.31,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
69,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,25-079,1995,21.8,1.33,1.33,0.96,0.00,0.09,0.05,0.18,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
70,Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,27-172,1993,5.2,2.31,2.31,1.15,0.58,0.19,0.19,0.19,0.00,0.19,0.19,0.00,0.00,0.00,0.00,0.19,0.00,0.00,Matches
71,Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,24-127,1996,7.3,0.55,0.55,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
72,Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,23-335,1997,10.7,2.34,2.33,1.50,0.00,0.47,0.19,0.00,0.19,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,Matches
73,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,28-303,1992,16.4,0.85,0.86,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
74,David Button\David-Button,eng ENG,GK,West Brom,32-009,1989,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
75,Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,22-342,1998,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
76,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,39-161,1981,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
77,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,35-079,1985,13.0,0.46,0.46,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
78,Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,30-047,1991,8.4,4.17,4.15,2.50,0.95,0.36,0.12,0.24,0.00,0.24,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,Matches
79,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,23-357,1997,21.9,1.64,1.64,1.00,0.00,0.09,0.23,0.27,0.05,0.41,0.41,0.09,0.00,0.00,0.23,0.09,0.00,0.00,Matches
80,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,26-285,1994,20.6,2.82,2.81,2.43,0.10,0.29,0.00,0.00,0.00,0.29,0.29,0.29,0.00,0.00,0.00,0.00,0.00,0.00,Matches
81,Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,21-027,2000,2.8,2.50,2.49,1.43,0.00,1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
82,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,32-061,1989,4.2,2.14,2.12,1.19,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,Matches
83,Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,23-213,1997,20.2,1.34,1.33,0.99,0.15,0.10,0.00,0.05,0.05,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,Matches
84,Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,34-157,1986,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
85,Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,25-093,1995,16.1,1.61,1.62,1.37,0.12,0.00,0.00,0.00,0.12,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.00,Matches
86,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,27-005,1994,4.5,1.11,1.11,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
87,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,27-141,1993,19.2,2.66,2.65,1.82,0.42,0.05,0.16,0.10,0.10,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,Matches
88,Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,34-022,1987,10.3,1.94,1.94,1.36,0.00,0.19,0.19,0.19,0.00,0.19,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.00,Matches
89,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,24-213,1996,12.5,2.80,2.80,2.40,0.16,0.08,0.00,0.08,0.08,0.16,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,Matches
90,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,26-047,1995,1.0,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
91,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,24-077,1996,18.5,1.95,1.94,1.19,0.49,0.00,0.11,0.11,0.05,0.32,0.32,0.32,0.00,0.00,0.00,0.00,0.00,0.00,Matches
92,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,23-158,1997,3.4,0.88,0.89,0.59,0.00,0.00,0.29,0.00,0.00,0.29,0.30,0.29,0.00,0.00,0.00,0.00,0.00,0.00,Matches
93,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,24-332,1996,9.1,0.22,0.22,0.22,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.00,Matches
94,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,31-163,1989,15.4,0.39,0.39,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
95,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,29-337,1991,12.7,0.55,0.55,0.39,0.08,0.00,0.08,0.00,0.00,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,Matches
96,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,28-011,1993,26.7,0.30,0.30,0.22,0.00,0.00,0.04,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
97,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,32-148,1988,9.8,1.43,1.42,1.02,0.10,0.10,0.10,0.10,0.00,0.31,0.31,0.20,0.00,0.00,0.00,0.10,0.00,0.00,Matches
98,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,21-039,2000,8.0,1.25,1.25,0.75,0.00,0.25,0.00,0.25,0.00,0.13,0.12,0.13,0.00,0.00,0.00,0.00,0.00,0.00,Matches
99,Liam Cooper\Liam-Cooper,sco SCO,DF,Leeds United,29-190,1991,19.8,0.66,0.66,0.40,0.00,0.00,0.15,0.00,0.10,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,Matches
100,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,31-256,1989,8.2,1.34,1.35,1.10,0.00,0.00,0.12,0.12,0.00,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.00,Matches
101,Hélder Costa\Helder-Costa,pt POR,MF,Leeds United,27-055,1994,9.5,2.00,2.00,1.37,0.00,0.21,0.11,0.32,0.00,0.42,0.42,0.32,0.00,0.00,0.00,0.11,0.00,0.00,Matches
102,Vladimír Coufal\Vladimir-Coufal,cz CZE,DF,West Ham,28-198,1992,21.9,1.96,1.96,1.55,0.27,0.00,0.05,0.05,0.05,0.18,0.18,0.18,0.00,0.00,0.00,0.00,0.00,0.00,Matches
103,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,31-083,1989,26.0,2.54,2.54,1.23,1.08,0.04,0.12,0.08,0.00,0.38,0.38,0.15,0.15,0.00,0.04,0.04,0.00,0.00,Matches
