Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-156,1994,4.0,34.5,25.5,9.00,0.75,0.00,3.75,0.75,0.00,0.00,0.00,0.00,0.00,18.8,1.50,14.3,3.25,25.5,0.00,0.00,5.00,26.5,0.00,1.00,0.25,0.00,Matches
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-263,1989,20.6,26.6,25.8,0.83,0.05,0.24,5.44,0.29,2.04,0.05,0.00,0.00,0.00,18.9,3.88,3.79,2.86,21.8,0.68,0.15,0.29,20.1,0.34,0.24,0.58,0.87,Matches
33,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-074,1992,12.8,51.3,42.0,9.22,0.39,0.16,4.53,0.55,1.56,0.00,0.00,0.00,0.00,29.5,11.1,10.7,3.20,34.8,3.05,8.83,0.08,39.9,0.00,0.55,1.09,1.64,Matches
34,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-246,1989,1.5,22.0,20.7,1.33,0.00,0.00,8.00,0.00,0.67,0.00,0.00,0.00,0.00,10.7,6.67,4.67,2.00,12.0,3.33,0.00,0.00,16.0,0.67,0.00,0.67,0.67,Matches
35,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,29-178,1991,17.6,26.4,25.6,0.85,0.17,0.00,5.11,0.34,0.85,0.00,0.00,0.00,0.00,21.0,3.30,2.10,1.59,22.2,1.19,0.06,0.40,21.2,0.06,0.17,0.80,0.74,Matches
36,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-195,1991,25.8,75.6,66.1,9.46,1.36,0.16,6.55,2.29,1.74,0.00,0.00,0.00,0.00,45.5,13.0,17.1,6.20,56.9,2.83,8.10,0.23,60.2,0.08,1.32,1.55,1.82,Matches
37,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-192,1989,15.6,85.6,77.8,7.82,1.41,0.13,4.68,0.58,1.03,0.00,0.00,0.00,0.00,62.1,11.9,11.7,7.12,66.5,3.72,6.41,0.38,74.3,0.13,1.15,1.15,1.47,Matches
38,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26-330,1994,7.1,53.8,52.8,0.99,0.99,0.00,4.08,0.56,0.00,0.00,0.00,0.00,0.00,44.4,4.37,5.07,6.34,43.7,2.54,0.00,0.00,48.3,0.00,0.28,0.99,0.42,Matches
39,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-197,1991,12.0,35.0,33.0,2.00,1.83,0.00,2.25,1.42,0.00,0.00,0.00,0.00,0.00,21.0,3.08,10.9,3.92,28.3,1.92,0.17,0.08,26.6,0.17,0.83,0.42,0.33,Matches
40,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,27-364,1993,22.5,36.9,29.8,7.16,0.04,0.00,4.76,0.58,1.73,0.00,0.00,0.00,0.00,19.6,8.76,8.53,1.78,26.1,1.51,7.11,0.09,28.4,0.09,0.67,0.58,2.00,Matches
41,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-235,1989,5.6,40.5,37.1,3.39,1.25,0.00,7.14,4.29,1.96,1.79,1.61,0.00,0.18,20.4,7.68,12.5,33.8,2.14,2.50,0.36,0.36,27.5,0.18,0.71,1.25,1.43,Matches
42,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-184,1993,24.8,14.8,12.0,2.82,0.00,0.08,2.86,0.00,0.16,0.08,0.00,0.00,0.00,11.0,2.94,0.85,9.40,3.43,0.52,0.04,0.73,11.3,0.04,0.24,0.65,0.65,Matches
43,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-253,1985,3.0,55.0,42.3,12.7,0.33,0.00,7.67,1.67,2.33,0.00,0.00,0.00,0.00,20.0,13.7,21.3,4.00,33.7,4.33,12.3,0.00,38.7,0.33,1.33,0.33,3.00,Matches
44,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-093,1993,12.4,41.8,36.6,5.16,1.45,0.00,7.74,1.21,1.05,2.42,0.56,0.65,0.56,29.1,5.89,6.77,6.45,31.7,1.69,0.32,0.32,34.0,0.16,0.48,0.73,1.21,Matches
45,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-093,1993,0.5,52.0,52.0,0.00,0.00,2.00,14.0,2.00,0.00,0.00,0.00,0.00,0.00,36.0,8.00,8.00,8.00,34.0,4.00,0.00,0.00,44.0,0.00,0.00,4.00,0.00,Matches
46,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-129,1989,14.4,20.1,19.9,0.28,0.07,0.00,7.01,0.28,0.42,0.00,0.00,0.00,0.00,11.0,4.38,4.72,2.71,12.2,1.81,0.00,0.76,12.9,0.14,0.35,0.69,0.97,Matches
47,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,23-089,1997,21.6,29.1,28.9,0.14,0.05,0.14,6.39,0.32,0.83,0.00,0.00,0.00,0.00,20.9,4.26,3.94,2.50,24.0,1.44,0.09,0.23,21.7,0.05,0.51,0.69,1.44,Matches
48,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-290,1991,18.8,30.4,29.1,1.28,0.80,0.00,4.84,0.69,0.16,0.00,0.00,0.00,0.00,20.2,2.50,7.71,3.35,21.9,2.87,0.48,0.00,23.7,0.00,0.96,0.37,0.27,Matches
49,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32-231,1988,22.6,39.2,36.5,2.70,0.58,0.04,4.51,0.35,0.97,0.00,0.00,0.00,0.00,26.4,5.18,7.65,4.60,27.5,3.01,2.12,0.18,31.5,0.09,1.11,0.44,0.84,Matches
50,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-157,1993,7.8,19.9,18.2,1.67,0.13,0.13,5.38,0.00,0.90,0.00,0.00,0.00,0.00,13.6,4.36,1.92,3.21,14.5,0.90,0.26,0.26,14.2,0.00,0.13,0.51,1.41,Matches
51,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,24-330,1996,25.9,61.2,58.3,2.97,1.31,0.04,7.30,0.93,0.00,0.00,0.00,0.00,0.00,42.6,5.75,12.9,9.96,43.5,4.17,1.66,0.27,51.5,0.08,1.04,0.62,0.50,Matches
52,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,23-324,1997,3.6,47.5,47.2,0.28,0.00,0.00,6.39,0.56,1.11,0.00,0.00,0.00,0.00,40.3,4.72,2.50,3.06,42.8,1.11,0.28,0.28,40.0,0.00,0.28,1.39,2.50,Matches
53,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,25-354,1995,21.2,55.4,48.2,7.22,0.42,0.09,7.97,0.57,2.31,0.00,0.00,0.00,0.00,35.6,12.7,7.08,4.86,40.2,2.55,6.79,0.14,45.8,0.05,0.71,1.18,1.65,Matches
54,Saïd Benrahma\Said-Benrahma,dz ALG,MFFW,West Ham,25-210,1995,9.8,32.9,32.0,0.82,0.10,0.20,5.00,0.71,1.84,0.00,0.00,0.00,0.00,24.8,3.78,4.29,5.10,26.3,0.71,0.20,0.31,25.9,0.20,0.51,0.92,0.82,Matches
55,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,21-093,1999,2.9,29.3,28.3,1.03,0.34,0.00,4.83,0.00,1.38,0.00,0.00,0.00,0.00,19.0,5.52,4.83,0.69,25.2,2.41,0.69,0.00,21.4,0.00,0.00,0.00,1.72,Matches
56,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-095,1990,11.9,27.6,27.0,0.59,0.00,0.08,11.3,0.08,0.34,0.00,0.00,0.00,0.00,11.3,7.39,8.82,1.26,13.9,3.53,0.08,0.92,17.7,0.08,0.67,0.92,0.50,Matches
57,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-132,1990,9.1,30.2,30.0,0.22,0.00,0.00,6.70,0.99,1.43,0.00,0.00,0.00,0.00,20.1,3.85,6.26,22.4,3.96,2.53,0.11,0.22,22.9,0.33,0.33,0.66,0.44,Matches
58,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,23-022,1998,11.3,37.7,36.7,0.97,0.62,0.09,5.93,1.06,1.59,0.18,0.18,0.00,0.00,28.6,4.34,4.78,2.74,31.6,2.21,0.18,0.00,30.9,0.18,0.88,0.62,0.88,Matches
59,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,23-151,1997,11.3,30.5,29.8,0.71,0.27,0.00,5.22,0.09,0.80,0.18,0.18,0.00,0.00,24.2,2.83,3.54,1.06,28.1,1.06,0.09,0.00,24.7,0.00,0.00,0.62,0.62,Matches
60,Bernard\Bernard,br BRA,FWMF,Everton,28-181,1992,4.2,55.0,54.3,0.71,0.00,0.00,5.24,0.24,1.43,0.00,0.00,0.00,0.00,42.1,5.95,6.90,9.05,43.3,1.90,0.24,0.48,43.3,0.48,0.71,1.67,2.62,Matches
61,Bernardo\Bernardo,br BRA,DFMF,Brighton,25-298,1995,2.3,37.8,34.8,3.04,0.43,0.00,5.65,0.43,1.74,0.00,0.00,0.00,0.00,25.2,9.13,3.48,26.5,4.35,2.17,2.61,0.00,27.0,0.43,0.43,0.43,4.35,Matches
62,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,31-215,1989,24.9,53.6,41.1,12.5,2.05,0.04,5.62,0.72,1.89,0.24,0.12,0.08,0.04,30.7,9.20,13.7,36.7,3.17,2.49,10.2,0.24,41.2,0.28,1.00,0.96,1.77,Matches
63,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,24-190,1996,23.6,49.2,48.1,1.06,0.89,0.13,7.71,1.53,0.25,0.00,0.00,0.00,0.00,36.9,6.44,5.89,4.36,41.4,1.74,0.13,0.47,42.5,0.00,1.14,1.14,0.72,Matches
64,Jayden Bogle\Jayden-Bogle,eng ENG,DF,Sheffield Utd,20-224,2000,9.0,33.3,27.1,6.22,0.11,0.22,5.11,0.00,1.00,0.00,0.00,0.00,0.00,19.2,8.56,5.56,4.33,20.2,1.78,6.11,0.22,26.1,0.11,0.56,0.78,1.22,Matches
65,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,30-033,1991,16.0,46.8,45.7,1.06,0.94,0.00,4.44,0.44,0.00,0.00,0.00,0.00,0.00,33.9,4.56,8.25,4.25,37.8,2.75,0.13,0.13,38.8,0.06,0.50,0.31,0.63,Matches
66,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,24-078,1996,20.4,26.8,23.9,2.84,0.15,0.00,4.95,2.01,2.01,2.30,1.86,0.25,0.10,15.3,4.36,7.11,19.7,5.64,0.59,0.00,0.10,17.9,0.10,0.44,0.54,1.57,Matches
67,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,29-053,1992,11.4,33.9,32.5,1.40,0.53,0.26,7.63,1.05,2.19,0.26,0.18,0.00,0.00,17.0,6.49,10.4,23.3,5.35,3.51,0.61,0.00,23.1,0.09,0.88,0.79,1.05,Matches
68,Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,20-341,2000,9.6,17.3,16.7,0.63,0.10,0.31,4.06,0.42,0.63,0.00,0.00,0.00,0.00,11.3,3.54,2.50,1.88,13.1,1.56,0.00,0.00,12.6,0.10,0.52,0.52,0.83,Matches
69,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,25-079,1995,21.8,39.5,38.8,0.78,0.41,0.00,8.12,0.60,0.41,0.00,0.00,0.00,0.00,23.8,6.74,8.99,4.17,28.5,3.81,0.37,0.32,31.5,0.09,0.55,0.28,0.78,Matches
70,Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,27-172,1993,5.2,55.8,42.7,13.1,3.08,0.00,4.62,1.92,2.88,1.54,0.19,0.96,0.38,27.1,11.5,17.1,36.2,8.08,2.31,8.46,0.00,37.9,0.38,0.96,1.73,3.08,Matches
71,Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,24-127,1996,7.3,38.2,36.2,2.05,0.00,0.00,5.62,1.23,1.37,0.00,0.00,0.00,0.00,20.3,4.93,13.0,31.0,1.92,2.47,2.05,0.00,27.3,0.14,1.10,1.23,0.82,Matches
